NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
411;HUKUM DALAM EKONOMI;"ELSI KARTIKA SARI, S.H., M.H. ; ADVENDI SIMANGUNSONG, S.H., M.M.";PT. GRASINDO;Jakarta;2008;;;;;;6E;;;;;;;;;;;;;;;
412;HUKUM & ADVOKASI KONSUMEN;SUDARYATMO, S.H.;PT. Citra Aditya Bakti;Bandung;1999;;;;;;5C;;;;;;;;;;;;;;;
413;HUKUM DAN EKONOMI // SERIAL : APA YANG SAYA ALAMI;ISMAIL SALEH, S.H.;PT. Gramedia Pustaka Utama;Jakarta;1990;;;;;;6A;9;;340;SAL;;;ADA;;;;;;;;
414;HUKUM DAN HAK-HAK ANAK;BISMAR SIREGAR, S.H. , ABDUL HAKIM G. NUSANTARA, S.H., LLM. , SUWANTJI SISWORAHARDJO, S.H., MDS. , et al.;CV. RAJAWALI;Jakarta;1986;979-421-076-5;;1.,;1.-;;6E;;;;;;;;;;;;;;;
415;HUKUM DAN INTERNET DI INDONESIA;BUDI AGUS RISWANDI;UII PRESS;Yogyakarta;2003;979-3333-13-8;;;1.-;168;1D;;21;4.678.026;RIS;B;;ADA;y;;;;;;;
416;HUKUM DAN KETAHANAN NASIONAL // DARI PENGALAMAN SEORANG JAKSA;KOHAR HARI SUMARNO;SINAR HARAPAN;Jakarta;1986;;;;;;7F;2;;;;;;;;;;;;;;
417;HUKUM DAN KETENTUAN PERBANKAN DI INDONESIA;WIDJANARTO;PUSTAKA UTAMA GRAFITI;Jakarta;2003;979-444-320-4;;4.,;1.-;;6E;;;;;;;;;;;;;;;
418;HUKUM DAN LOGIKA;alih bahasa : Prof. Dr. B. ARIEF SIDHARTA, S.H.;PT. ALUMNI;Bandung;2002;;;;;;6A;;;340.160;;;;;;;;;;;;
419;HUKUM DAN MASYARAKAT;SATJIPTO RAHARDJO, S.H.;ANGKASA;Bandung;1980;;;;;;6A;;;;;;;;;;;;;;;
420;HUKUM DAN PERLINDUNGAN HAK CIPTA (DISESUAIKAN DENGAN UNDANG-UNDANG HAK CIPTA TH. 2002 // DILENGKAPI UU R.I. NO.19 TH. 2002;SUYUD MARGONO;CV. NOVINDO PUSTAKA MANDIRI;Jakarta;2003;;;;;;7B;;;;;;;;;;;;;;;
421;HUKUM DAN POLITIK DI ERA REFORMASI;GARUDA WIKO, S.H., M.Si.;SRIKANDI;Surabaya;2006;;;;;;6E;;;;;;;;;;;;;;;
422;HUKUM DIPLOMATIK // KEKEBALAN DAN KEISTIMEWAANNYA;"EDY SURYONO, S.H. ; MOENIR ARISOENDHA, S.H.";ANGKASA;Bandung;1991;;;;;;5F;;;;;;;;;;;;;;;
423;HUKUM DISIPLIN MILITER INDONESIA;AMIROEDDIN SJARIF, S.H.;RINEKA CIPTA;Jakarta;1996;;;;;;2F;;;;;;;;;;;;;;;
424;HUKUM EKONOMI INTERNASIONAL;MERIA UTAMA;PT. FIKAHATI ANESKA;Jakarta;2012;978-979-8231-97-1;;;;182;1F;;21;343.07;UTM;S;;ADA;y;;;;;;;
425;HUKUM FIDUSIA (PROBLEMATIKA YURIDIS PEMBERLAKUAN UNDANG-UNDANG No. 42 TAHUN 1999;Dr. A.A. ANDI PRAJITNO, Drs., S.H., M.Kn.;BAYUMEDIA PUBLISHING;Malang;2009;979-602-8299-19-0;;;1.-;x, 266;2B;;21;346.4;PRA;S;;ADA;;n;;;;;;
426;HUKUM~HAKIM PIDANA;Prof. H. OEMAR SENO ADJI, S.H.;ERLANGGA;Jakarta;1984;;;;2.-;vii, 272;2E;;21;345.5;ADJ;S;;ADA;;n;;;;;;
427;HUKUM HUMANITER;GPH. HARYOMATARAM, S.H. BRIGJEN TNI-AD (purn);CV. RAJAWALI;Jakarta;1984;;;;;;7G;;;;;;;;;;;;;;;
428;HUKUM INFORMASI DAN TRANSAKSI ELEKTRONIK (STUDI KASUS : PRITA MULYASARI);Dr. SISWANTO SUNARSO, S.H., M.H., M.Kn.;RINEKA CIPTA;Jakarta;2009;978-979-518-971-8;;;;260;1D;2;23,5;344.09;SUN;B;;ADA;;n;;;;;;
429;HUKUM INVESTASI (PEMBAHASAN DILENGKAPI DENGAN UU NO. 25 TAHUN 2007 TENTANG PENANAMAN MODAL);Dr. SENTOSA SEMBIRING, S.H., M.H.;NUANSA AULIA;Bandung;2007;;;;;;7E;2;;;;;;;;;;;;;;
430;HUKUM ISLAM // M.YAHYA HARAHAP DAN TATA HUKUM ISLAM DI INDONESIA;Prof. H. MOHAMMAD DAUD ALI, S.H.;PT. Rajagrafindo Persada;Jakarta;2000;979-421-261-x;;6.,;7.-;325;1E;;21;397.4;ALI;B;;ADA;;n;;;;;;
431;HUKUM ISLAM // M.YAHYA HARAHAP DAN TATA HUKUM ISLAM DI INDONESIA;Prof. H. MOHAMMAD DAUD ALI, S.H.;PT. Rajagrafindo Persada;Jakarta;2005;979-421-261-x;;6.,;12.-;337;1E;;21;297.4;ALI;B;;ADA;;n;;;;;;
432;HUKUM JAMINAN, HAK-HAK JAMINAN PRIBADI PENANGGUNG (BORGTOCHT) DAN PERIKATAN TANGGUNG-MENANGGUNG;J. SATRIO, S.H.;PT. Citra Aditya Bakti;Bandung;2003;979-414-743-5;;;2.-;xvi, 326;3D;;20,5;346;SAT;;;ADA;;;;;;;;
433;HUKUM KEBENDAAN PERDATA // HAK-HAK YANG MEMBERI JAMINAN;Ny. FRIEDA HUSNI HASBULLAH S.H., M.H.;CV. INDHILL CO;Jakarta;2009;978-979-8179-49-5;2;rev.,;3.-;xvii, 220;3D;;21;346;HAS;S;;ADA;;;;;;;;
434;HUKUM KEBENDAAN PERDATA // HAK-HAK YANG MEMBERI KENIKMATAN;Ny. FRIEDA HUSNI HASBULLAH S.H., M.H.;IND-HIL-CO;Jakarta;2002;979-8179-48-X;1;;2.-;xiii, 206;3A;;23;346.43;HAS;S;;ADA;;;;;;;;
435;HUKUM KEBENDAAN PERDATA // HAK-HAK YANG MEMBERI KENIKMATAN;Ny. FRIEDA HUSNI HASBULLAH S.H., M.H.;IND-HIL-CO;Jakarta;2005;979-8179-48-X;1;rev.,;3.-;xiv, 219;3A;;21;346;HAS;S;;ADA;;;;;;;;
436;HUKUM KEHUTANAN & HUKUM PERKEBUNAN DI INDONESIA;SUPRIADI, S.H., M.Hum.;Sinar Grafika;Jakarta;2010;978-979-007-281-7;;1.,;1.-;706;1G;2;23;345;SUP;S;;ADA;;n;;;;;;
437;HUKUM KEHUTANAN DAN PEMBANGUNAN BIDANG KEHUTANAN;BAMBANG PAMULARDI, S.H.;PT. Rajagrafindo Persada;Jakarta;1996;;;;;;7H;;;;;;;;;;;;;;;
438;HUKUM KEKELUARGAAN NASIONAL;Drs. SUDARSONO, S.H.;PT. Rineka Cipta;Jakarta;1991;979-518-058-4;;;1.-;;6E;;;;;;;;;;;;;;;
439;HUKUM KEPAILITAN;Prof. Dr. SUNARMI, S.H., M.Hum.;PT. SOFMEDIA;Jakarta;2010;978-602-8604-04-8;;2.,;1.-;v, 248;3D;;24;346.07;SUN;S;;ADA;;;;;;;;
440;HUKUM KEPAILITAN//MEMAHAMI UNDANG-UNDANG NO.37 TAHUN 2004 TENTANG KEPAILITAN;Prof. Dr. SUTAN REMY SJAHDEINI, S.H.;PUSTAKA UTAMA GRAFITI;Jakarta;2009;978-979-444-448-1;;;;xix, 478;3D;;23;346.078;SJA;;;ADA;;;;;;;;
441;HUKUM KEUANGAN NEGARA;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2010;;;;;;7E;;;;;;;;;;;;;;;
442;HUKUM KEUANGAN NEGARA;Prof. Dr. MUHAMMAD DJAFAR SAIDI, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2013;;;2.,;3;;7E;;;;;;;;;;;;;;;
443;HUKUM KEUANGAN NEGARA;W. RIAWAN TJANDRA;PT. GRASINDO;Jakarta;2006;;;;1.-;;7E;;;;;;;;;;;;;;;
444;HUKUM KEUANGAN NEGARA R.I.;Dr. M. SUBAGIO, S.H.;CV. RAJAWALI;Jakarta;1991;979-421-139-7;;1.,;2.-;;6E;;;;;;;;;;;;;;;
445;HUKUM KEWARISAN ISLAM;Prof. Dr. AMIR SYARIFUDDIN;Kencana;Jakarta;2008;979-3465-37-9;;1.,;3.-;344;1E;;23;397.432;SYA;;;ADA;;n;;;;;;
446;HUKUM KEWARISAN ISLAM DI INDONESIA;SAJUTI THALIB, S.H.;Sinar Grafika;Jakarta;1995;979-8061-81-0;;;5.-;200;1E;;20,5;348;THA;;;ADA;;n;;;;;;
447;HUKUM KEWARISAN PERDATA BARAT // PEWARISAN MENURUT UNDANG-UNDANG;"SURINI AHLAN SJARIF, S.H., M.H. ; Dr. NURUL ELMIYAH, S.H., M.H.";Kencana;Jakarta;2004;979-3465-88-3;;1.,;1.-;x, 152;3D;;21;346.05;SJA;;;ADA;;;;;;;;
448;HUKUM KONDOMINIUM DALAM TANYA JAWAB;A. RIDWAN HALIM, S.H.;GHALIA INDONESIA;Jakarta;1990;979-450-195-6;;;1,-;174;3A;;20,5;346;HAL;;;ADA;;;;;;;;
449;HUKUM KONTRAK BERNUANSA ISLAM;Prof. Dr. AHMADI MIRU, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2012;978-979-769-499-9;;1.,;1.-;173;1E;;21;346.02;MIR;S;;ADA;;n;;;;;;
450;HUKUM KONTRAK & PERANCANGAN KONTRAK;Dr. AHMADI MIRU, S.H., M.S.;PT. Rajagrafindo Persada;Jakarta;2010;978-979-769-105-9;;1.,;3.-;xii, 168;3F;;20,5;346.02;MIR;;;ADA;;;;;;;;
451;HUKUM KONTRAK & PERANCANGAN KONTRAK;Dr. AHMADI MIRU, S.H., M.S.;PT. Rajagrafindo Persada;Jakarta;2011;978-979-769-105-9;;1.,;4.-;xii, 168;3F;;21;346.02;MIR;S;;ADA;;;;;;;;
452;HUKUM KONTRAK (DARI SUDUT PANDANG HUKUM BISNIS);Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2007;979-414-807-5;;;3.-;xii, 232;3F;;21;346.02;FUA;S;;ADA;;;;;;;;
453;HUKUM KONTRAK (DARI SUDUT PANDANG HUKUM BISNIS) // BUKU KEDUA;Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2007;979-414-879-2;;;2.-;xii, 278;3F;;21;346.02;FUA;S;;ADA;;;;;;;;
454;HUKUM KONTRAK//TEORI & TEKNIK PENYUSUNAN KONTRAK;SALIM H.S., S.H., M.S.;Sinar Grafika;Jakarta;2004;979-3421-47-9;;;2.-;ix, 189;3F;;23;346.2;SAL;S;;ADA;;;;;;;;
455;HUKUM LAUT BAGI INDONESIA;Dr. R. WIRJONO PRODJODIKORO , S.H.;SUMUR BANDUNG;Bandung;1981;;;;;;7F;;;;;;;;;;;;;;;
456;HUKUM LAUT INDONESIA;P. JOKO SUBAGYO, S.H.;RINEKA CIPTA;Jakarta;1993;;;;1.-;;7F;;;;;;;;;;;;;;;
457;HUKUM LAUT INDONESIA;P. JOKO SUBAGYO, S.H.;RINEKA CIPTA;Jakarta;2002;;;;2.-;;7F;;;;;;;;;;;;;;;
458;HUKUM LAUT INDONESIA;P. JOKO SUBAGYO, S.H.;RINEKA CIPTA;Jakarta;2009;;;;4.-;;7F;;;;;;;;;;;;;;;
459;HUKUM LAUT INTERNASIONAL;Prof. Dr. MOCHAR KUMAATMADJA;BINACIPTA;Bandung;1983;;;;;;7F;;;;;;;;;;;;;;;
;Hukum Laut Internasional | Dan Pengaturannya Di Indonesia;Prof. Dikdik M. Sodik, S.H., M.H., Ph.D.;Refika Aditama;Bandung;2019;978-602-7948-43-3;;;4.-;;7F;1;;341.756.6;MOH;S;;ada;;;;;;;;
460;HUKUM LAUT, PELAYARAN DAN PERNIAGAAN;Prof. Dr. BAHARUDDIN LOPA, S.H.;ALUMNI;Bandung;1984;;;;;;;2;;;;;;;;;;;;;;
461;HUKUM LINGKUNGAN // BUKU I : UMUM;Prof. Mr. St. MUNADJAT DANUSAPUTRO;BINACIPTA;Jakarta;1985;;;;2.-;425;1G;;21;345;DAN;S;;ADA;;n;;;;;;
462;HUKUM LINGKUNGAN // BUKU II : NASIONAL;Prof. Mr. St. MUNADJAT DANUSAPUTRO;BINACIPTA;Jakarta;1985;;;;2.-;608;1G;2;21;345;DAN;S;;ADA;;n;;;;;;
463;HUKUM LINGKUNGAN // BUKU III : REGIONAL;Prof. Mr. St. MUNADJAT DANUSAPUTRO;BINACIPTA;Jakarta;1982;;;;1.-;560;1G;2;21;345;DAN;S;;ADA;;n;;;;;;
464;HUKUM LINGKUNGAN // BUKU IV : GLOBAL;Prof. Mr. St. MUNADJAT DANUSAPUTRO;BINACIPTA;Jakarta;1982;;;;1.-;519;1G;2;21;345;DAN;S;;ADA;;n;;;;;;
465;HUKUM LINGKUNGAN // BUKU V : SEKTORAL (HUKUM LINGKUNGAN NUSANTARA ATAU UNDANG-UNDANG NOMOR 4 TAHUN 1982 TTG KETENTUAN-KETENTUAN POKOK PENGELOLAAN LINGKUNGAN HIDUP;Prof. Mr. St. MUNADJAT DANUSAPUTRO;BINACIPTA;Jakarta;1982;;1;;1.-;334;1G;;21;345;DAN;S;;ADA;;n;;;;;;
466;HUKUM LINGKUNGAN DALAM SISTEM PENEGAKAN HUKUM LINGKUNGAN INDONESIA;Prof. Dr. M. DAUD SILALAHI, S.H.;ALUMNI;Bandung;2001;979-414-214-X;;3.,;1.-;328;1G;2;20,5;345;SIL;B;;ADA;;n;;;;;;
467;HUKUM LINGKUNGAN (MASALAH DAN PENANGGULANGANNYA);P. JOKO SUBAGYO, S.H.;PT. Rineka Cipta;Jakarta;2002;979-518-331-1;;;3.-;178;1G;;20,5;345.333.7;SUB;S;;ADA;;n;;;;;;
468;HUKUM LINGKUNGAN DAN EKOLOGI PEMBANGUNAN;N.H.T. SIAHAAN;ERLANGGA;Jakarta;2004;979-741-053-6;;2.,;;2004;1G;;25;344.046;SIA;;;ADA;;n;;;;;;
469;HUKUM MEREK // CARA MUDAH MEMPELAJARI UNDANG-UNDANG MEREK;Dr. AHMADI MIRU, S.H., M.S.;PT. Rajagrafindo Persada;Jakarta;2007;;;;;;7B;;;;;;;;;;;;;;;
470;HUKUM MEREK INDONESIA;Prof. Mr. Dr. SUDARGO GAUTAMA;ALUMNI;Bandung;1977;;;;;;7B;;;;;;;;;;;;;;;
471;HUKUM MERK INDONESIA;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;1989;;;;;;7B;;;;;;;ada;;;;;;;;
472;HUKUM MINYAK DAN GAS BUMI;RUDI M. SIMAMORA;DJAMBATAN;Jakarta;2000;;;;;;6E;;;;;;;ada;;;;;;;;
473;HUKUM NOTARIAT DI INDONESIA // SUATU PENJELASAN;R. SOEGONDO NOTODISOERJO;CV. RAJAWALI;Jakarta;1982;;;1.,;;;7E;;;;;;;ada;;;;;;;;
474;HUKUM NOTARIAT DI INDONESIA // SUATU PENJELASAN;R. SOEGONDO NOTODISOERJO;CV. RAJAWALI;Jakarta;1993;;;1.,;2.-;;7E;;;;;;;ada;;;;;;;;
475;HUKUM ORANG DAN KELUARGA//PERSPEKTIF HUKUM PERDATA BARAT/BW, HUKUM ISLAM DAN HUKUM ADAT;SOEDHARYO SOIMIN, S.H.;Sinar Grafika;Jakarta;2004;979-8767-86-1;;rev.,;2.-;x, 117;3D;;20,5;347;SOI;;;ada;;;;;;;;
476;HUKUM ORGANISASI PERUSAHAAN//POLA KEMITRAAN DAN BADAN HUKUM;Dr. JOHANNES IBRAHIM, S.H., M.Hum.;PT. REFIKA ADITAMA;Bandung;2006;979-3304-59-6;;;1.-;ix, 144;3E;;24;658.1;IBR;B;115.000;ada;;;;;;;;
477;Hukum Pajak;Erly Suandy;Salemba Empat;Jakarta;2009;;;4.,;;;5F;;;343.4;SUA;S;;ada;;;;;;;;
478;Hukum Pajak;Erly Suandy;Salemba Empat;Jakarta;2011;;;5.,;;;5F;;;343.04;SUA;;;ada;;;;;;;;
479;HUKUM PASAR MODAL INDONESIA;HAMUD M. BALFAS, S.H., LL.M.;PT. TATANUSA;Jakarta;2006;979-3999-08-X;;;1.-;xi, 516;3E;;24;346.092 2;BAL;B;202.000;ada;;;;;;;;
480;HUKUM PATEN DAN PERUNDANG-UNDANGAN PATEN INDONESIA;CHAIRUL ANWAR, S.H.;DJAMBATAN;Jakarta;1992;;;;;;7B;;;;;;;ada;;;;;;;;
481;HUKUM PEMBEBASAN TANAH // PP R.I. NO. 36 TAHUN 2005 TENTANG PENGADAAN TANAH BAGI PELAKSANAAN PEMBANGUNAN UNTUK KEPENTINGAN UMUM;--;PUSTAKA YUSTISIA;Yogyakarta;2006;;;;;;4B;;;;;;;ada;;;;;;;;
482;HUKUM PEMBUKTIAN;Prof. R. SUBEKTI, S.H.;PT. PRADNYA PARAMITA;Jakarta;2003;979-408-131-0;;;14.-;vii, 84;2C;;21;347.06;SUB;;;ada;;n;;;;;;
483;HUKUM PEMBUKTIAN;Prof. R. SUBEKTI, S.H.;PT. PRADNYA PARAMITA;Jakarta;2005;979-408-131-0;;;15.-;vii, 84;2C;;21;347.06;SUB;B;172.000;ADA;;n;;;;;;
484;HUKUM PEMBUKTIAN DALAM ACARA PERDATA;TEGUH SAMUDERA, S.H.;PT. ALUMNI;Bandung;2004;979-414-213-1;;1.,;2.-;x, 216;3A;;20,5;347.6;SAM;S;;;;;;;;;;
485;HUKUM PEMBUKTIAN DALAM BERACARA PIDANA, PERDATA DAN KORUPSI DI INDONESIA;ALFITRA, S.H., M.H.;RAIH ASA SUKSES;Jakarta;2011;978-979-013-162-0;;;1.-;iv,188;2B;2;20;345.06;ALF;S;;ADA;;n;;;;;;
486;HUKUM PEMBUKTIAN DALAM BERACARA PIDANA, PERDATA DAN KORUPSI DI INDONESIA;ALFITRA, S.H., M.H.;RAIH ASA SUKSES;Jakarta;2012;978-979-013-162-0;;;3.-;iv, 188;2B;3;20;345.06;ALF;S;;ADA;;n;;;;;;
487;HUKUM PEMBUKTIAN DALAM PERADILAN PIDANA;Dr. H. SYAIFUL BAKHRI, S.H., M.H.;TOTAL MEDIA;Yogyakarta;2009;979-8823-09-5;;;1.-;xiv, 343;2D;;23;345.6;BAK;;;ADA;;n;;;;;;
488;HUKUM PEMBUKTIAN DALAM PERKARA PERDATA // UNTUK MAHASISWA DAN PRAKTISI;"Drs. HARI SASANGKA, S.H., M.H.; LILY ROSITA, S.H., M.H.";CV. MANDAR MAJU;Bandung;2003;979-538-237-3;;;1.-;xii, 224;6C;;21;345.06;SAS;S;;ADA;;;;;;;;
489;HUKUM PEMBUKTIAN DALAM PERKARA PERDATA // UNTUK MAHASISWA DAN PRAKTISI;Drs. HARI SASANGKA, S.H., M.H.;CV. MANDAR MAJU;Bandung;2005;979-538-270-5;;;1.-;xiii, 390;3C;2;21;345.06;SAS;S;;ADA;;;;;;;;
490;HUKUM PEMBUKTIAN // TEORI-PRAKTIK DAN YURISPRUDENSI INDONESIA;Dr. H.P. PANGGABEAN, S.H., M.S.;PT. ALUMNI;Bandung;2012;;;;1.-;;6C;3;;345.06;PAN;S;;ADA;;;;;;;;
491;HUKUM PEMBUKTIAN TINDAK PIDANA KORUPSI;Drs. ADAMI CHAZAWI, S.H.;PT. ALUMNI;Bandung;2008;979-41-4012-0;;2.,;1.-;xvii, 370;2B;;20,5;345;CHA;B;181.450;ADA;;n;;;;;;
492;HUKUM PENATAAN RUANG DAN PENATAGUNAAN TANAH//DALAM KONTEKS UUPA-UUPR-UUPLH;HASNI, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2008;978-979-769-186-8;;1.,;1.-;xvi, 476;3E;;21;346.044;HAS;S;;ADA;;;;;;;;
;Hukum Pengangkutan Niaga;Prof. Abdulkadir Muhammad, S.H.;PT. Citra Aditya Bakti;Bandung;2017;978-979-491-042-9;;;;;3F;;;380;MUH;S;;ada;;;;;;;;
493;HUKUM PENITENSIA DI INDONESIA;S.R. SIANTURI, S.H. - MOMPANG L. PANGGABEAN, S.H.;ALUMNI AHAEM-PETEHAEM;Jakarta;1996;979-8961-04-8;;;;viii, 204;2E;;19,5;345;SIA;B;;ADA;;n;;;;;;
494;HUKUM PENITENSIER INDONESIA;Drs. P.A.F. LAMINTANG, S.H.;CV. ARMICO;Bandung;1988;;;;3.-;316;2E;;20,5;345;LAM;H;;ADA;;n;;;;;;
495;HUKUM PENYIARAN;Dr. JUDHARIKSAWAN, S.H., M.H.;RAJAWALI PERS;Jakarta;2010;;;;;;7G;;;;;;;;;;;;;;;
496;HUKUM PERBANKAN;Dr. SENTOSA SEMBIRING, S.H., M.H.;CV. MANDAR MAJU;Bandung;2008;;;;;;7E;;;;;;;;;;;;;;;
;Hukum Perbankan;Dr. Trisadini P. Usanti & Prof. Dr. Abd. Shomad;Kencana;Jakarta;2020;978-602-422-054-9;;;2.-;;7E;;;347,078;USA;S;;ada;;;;;;;;
498;HUKUM PERBANKAN DI INDONESIA;Drs. MUHAMMAD DJUMHANA, S.H.;PT. Citra Aditya Bakti;Bandung;2003;;;;;;7E;;;;;;;;;;;;;;;
;Hukum Perbankan Modern / Berdasarkan UU Tahun 1998 (Buku Kesatu);Munir Fuady, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;1999;979-414-797-4;;;;;7E;;;703;FUA;s;;ada;;;;;;;;
497;HUKUM PERBANKAN SYARIAH (UU NO. 21 TAHUN 2008);Prof. Dr. ABDUL GHOFUR ANSHORI, S.H., M.H.;PT. REFIKA ADITAMA;Bandung;2009;;;;;;7E;;;;;;;;;;;;;;;
499;HUKUM PERBURUHAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2009;978-979-007-058-6;;1.,;1.-;xii, 392;3C;;23;344.01;SUT;;;ADA;;;;;;;;
500;HUKUM PERBURUHAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2011;978-979-007-058-6;;1.,;2.-;xii, 392;3C;;23;344.01;SUT;;;ADA;;;;;;;;
501;HUKUM PERBURUHAN BIDANG KESEHATAN KERJA (PERLINDUNGAN BURUH);Prof. IMAN SOEPOMO, S.H.;PT. PRADNYA PARAMITA;Jakarta;1983;;;;5.-;148;3C;;20,5;344;SOE;;;ADA;;;;;;;;
502;HUKUM PERBURUHAN DI INDONESIA BERLANDASKAN PANCASILA;G. KARTASAPOETRA , R.G. KARTASAPOETRA, S.H., Ir. A.G. KARTASAPOETRA;Sinar Grafika;Jakarta;1994;979-8061-60-2;;;4,-;xv, 449;3C;;20,5;344.1;KAR;;;ADA;;;;;;;;
503;HUKUM PERBURUHAN PANCASILA BIDANG PELAKSANAAN KERJA;GUNAWI KARTASAPOETRA , ABAS KUSTANDI, S.H. , et al.;CV. ARMICO;Bandung;1983;;;;;320;3C;;20,5;344;KAR;;;ADA;;;;;;;;
504;HUKUM PERBURUHAN PERJANJIAN KERJA;DJUMADI, S.H., M.Hum.;PT. Rajagrafindo Persada;Jakarta;2008;979-421-312-8;;2.,;7.-;xiv, 176;3F;2;21;344.01;DJU;;;ADA;;;;;;;;
505;HUKUM PERDATA DALAM PERSPEKTIF BW;DJAJA S. MELIALA, S.H., M.H.;NUANSA AULIA;Bandung;2012;978-979-071-171-6;;rev.,;1,-;x, 262;3A;2;20,5;346.001;MEL;S;;ADA;;;;;;;;
506;HUKUM PERDATA DAN HUKUM TATA USAHA NEGARA DALAM TEORI & PRAKTEK;T. BOESTOMI, S.H.;PT. ALUMNI;Bandung;1994;979-414-497-5;;1.,;1,-;viii, 119;3A;;20,5;346.001;BOE;S;;ADA;;;;;;;;
507;HUKUM PERDATA//HUKUM PERUTANGAN (BAGIAN B);NY. SRI SOEDEWI MASJCHOEN SOFWAN, S.H.;SEKSI HUKUM PERDATA FH. UGM;Yogyakarta;1980;;;;;viii, 132;3F;;21;346.7;MAS;;;ADA;;;;;;;;
508;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID DUA/BAGIAN DUA/BUKU KETIGA);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;1973;;;;2.-;192;1F;;21,5;347.07;GAU;;;ADA;;n;;;;;;
509;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 3 BUKU KE-4);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;1998;979-414-152-6;2;2.,;1.-;xiv, 376;1F;;21;347;GAU;B;;ADA;;;;;;;;
510;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN III/BUKU KE-4);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-152-9;2;2.,;2,-;xiv, 376;1F;;21;347;GAU;S;;ADA;;n;;;;;;
511;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 4/BUKU KE-5);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-206-9;2;2.,;3,-;xii, 362;1F;;21;347;GAU;S;;ADA;;n;;;;;;
512;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 5/BUKU KE-6);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-320-0;2;2.,;2,-;xii, 234;1F;;21;347;GAU;S;;ADA;;n;;;;;;
513;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN I/BUKU KE-7);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2010;979-414-321-9;;2.,;3.-;528;1F;;20,5;341;GAU;S;;ADA;;n;;;;;;
514;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN I/BUKU KE-7);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-321-9;;2.,;2,-;xvi, 528;1F;;20,5;341;GAU;S;;ADA;;n;;;;;;
515;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN 2/BUKU KE-8);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-322-7;3;1.,;5,-;x, 364;1F;;20,5;347;GAU;S;;ADA;;n;;;;;;
516;HUKUM PERDATA ISLAM DI INDONESIA;Prof. Dr. H. ZAINUDDIN ALI, M.A.;Sinar Grafika;Jakarta;2006;979-3421-08-8;;;1.-;160;1E;;23;297;ALI;;30.000;ADA;;n;;;;;;
517;HUKUM PERDATA ISLAM DI INDONESIA (STUDI KRITIS PERKEMBANGAN HUKUM ISLAM DARI FIQIH, UU NO.1/1974 SAMPAI KHI);Dr. H. AMIUR NURUDDIN, M.A. & Drs. AZHARI AKMAL TARIGAN, M.Ag.;Kencana;Jakarta;2004;979-3465-39-5;;1.,;;332;1E;;21;297.42;NUR;S;;ADA;;n;;;;;;
518;HUKUM PERIKANAN//DILENGKAPI HUKUM PERIKATAN DALAM ISLAM;WAWAN MUHWAN HARIRI, S.H.;CV. PUSTAKA SETIA;Bandung;2011;978-979-076-177-3;;;1.-;358;3D;;23;346.02;HAR;S;;ADA;;;;;;;;
519;HUKUM PERIKANAN INDONESIA;Ir. H. DJOKO TRIBAWONO, M.Si.;PT. Citra Aditya Bakti;Bandung;2002;;;;;;7G;2;;;;;;;;;;;;;;
